"label","feature_text"
"ALLOW","[CATEGORY_FINANCE] | com.phonepe.app | Payment failed! ₹53,584 to ZOMATO could not be processed due to bank server issue."
"BLOCK","[CATEGORY_UNKNOWN] | com.google.android.apps.messaging | URGENT! Your mobile No 07xxxxxxxxx won a å£2,000 bonus caller prize on 02/06/03! this is the 2nd attempt to reach YOU! call 09066362231 ASAP! BOX97N7QP, 150PPM"
"ALLOW","[CATEGORY_FINANCE] | com.phonepe.app | Autopay for NETFLIX of ₹21,792 was successful."
"ALLOW","[CATEGORY_UNKNOWN] | com.google.android.apps.messaging | Cheers for the message Zogtorius. IåÕve been staring at my phone for an age deciding whether to text or not."
"ALLOW","[CATEGORY_UNKNOWN] | com.google.android.apps.messaging | Tired. I haven't slept well the past few nights."
"BLOCK","[CATEGORY_UNKNOWN] | com.google.android.apps.messaging | For taking part in our mobile survey yesterday! You can now have 500 texts 2 use however you wish. 2 get txts just send TXT to 80160 T&C www.txt43.com 1.50p"
"BLOCK","[CATEGORY_UNKNOWN] | com.google.android.apps.messaging | CALL 09090900040 & LISTEN TO EXTREME DIRTY LIVE CHAT GOING ON IN THE OFFICE RIGHT NOW TOTAL PRIVACY NO ONE KNOWS YOUR [sic] LISTENING 60P MIN 24/7MP 0870753331018+"
"BLOCK","[CATEGORY_FOOD] | in.swiggy.android | Hungry? Momos is calling! Order now for 70% off up to Rs.49999."
"ALLOW","[CATEGORY_SOCIAL] | org.telegram.messenger | Divya joined Telegram!"
"ALLOW","[CATEGORY_FINANCE] | com.phonepe.app | Received ₹4,400 from Rohit. Tap to check your updated wallet balance."
"ALLOW","[CATEGORY_UNKNOWN] | com.google.android.apps.messaging | Haha i think i did too"
"ALLOW","[CATEGORY_FINANCE] | com.phonepe.app | Received ₹60,342 from Pooja. Tap to check your updated wallet balance."
"BLOCK","[CATEGORY_SHOPPING] | com.ril.ajio | Flash Sale: Trendy Samsung S23 under ₹999. Grab yours before sizes run out!"
"ALLOW","[CATEGORY_FINANCE] | com.phonepe.app | Payment failed! ₹5,555 to STARBUCKS could not be processed due to bank server issue."
"ALLOW","[CATEGORY_FINANCE] | com.sbi.YONO | You have successfully added Manish as a beneficiary. Cooling period of 4 hours active."
"ALLOW","[CATEGORY_FINANCE] | com.sbi.YONO | Dear Customer, your OTP for internet banking login is 683368. Valid for 5 mins."
"ALLOW","[CATEGORY_UNKNOWN] | com.google.android.apps.messaging | WHEN THE FIRST STRIKE IS A RED ONE. THE BIRD + ANTELOPE BEGIN TOPLAY IN THE FIELDOF SELFINDEPENDENCE BELIEVE THIS + THE FLOWER OF CONTENTION WILL GROW.RANDOM!"
"BLOCK","[CATEGORY_FRAUD] | com.google.android.apps.messaging | You missed embassy verification call. To avoid cancellation, share OTP sent to your mobile now."
"BLOCK","[CATEGORY_UNKNOWN] | com.google.android.apps.messaging | Check Out Choose Your Babe Videos @ sms.shsex.netUN fgkslpoPW fgkslpo"
"ALLOW","[CATEGORY_UNKNOWN] | com.google.android.apps.messaging | Hmmm.... Mayb can try e shoppin area one, but forgot e name of hotel..."
"ALLOW","[CATEGORY_FINANCE] | com.dreamplug.androidapp | Reminder: Your SBI credit card bill of ₹75,908 is due tomorrow. Pay now to avoid fees."
"BLOCK","[CATEGORY_UNKNOWN] | com.google.android.apps.messaging | PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S.I.M. points. Call 08715203685 Identifier Code:4xx26 Expires 13/10/04"
"ALLOW","[CATEGORY_SOCIAL] | com.instagram.android | Ramesh replied to your story: 🔥🔥"
"BLOCK","[CATEGORY_UNKNOWN] | com.google.android.apps.messaging | important information 4 orange user . today is your lucky day!2find out why log onto http://www.urawinner.com THERE'S A FANTASTIC SURPRISE AWAITING YOU!"
"ALLOW","[CATEGORY_UNKNOWN] | com.google.android.apps.messaging | Found it, ENC &lt;#&gt; , where you at?"
"ALLOW","[CATEGORY_SOCIAL] | com.slack | @Manish mentioned you in #announcements: Meeting starting in 5 mins."
"BLOCK","[CATEGORY_UNKNOWN] | com.google.android.apps.messaging | Natalja (25/F) is inviting you to be her friend. Reply YES-440 or NO-440 See her: www.SMS.ac/u/nat27081980 STOP? Send STOP FRND to 62468"
"ALLOW","[CATEGORY_FINANCE] | com.google.android.apps.messaging | Dear Customer, AED 740.00 was debited from your account ****0535. Your available account balance is AED 659.57"
"BLOCK","[CATEGORY_UNKNOWN] | com.google.android.apps.messaging | Knock Knock Txt whose there to 80082 to enter r weekly draw 4 a å£250 gift voucher 4 a store of yr choice. T&Cs www.tkls.com age16 to stoptxtstopå£1.50/week"
"ALLOW","[CATEGORY_FINANCE] | com.phonepe.app | Autopay for OLA of ₹1,867 was successful."
"ALLOW","[CATEGORY_FINANCE] | com.hdfcbank.payzapp | Cashback of ₹22,204 added to your PayZapp wallet!"
"ALLOW","[CATEGORY_FINANCE] | com.google.android.apps.messaging | Dear Customer, AED 200.00 was debited from your account ****0535. Your available account balance is AED 41.67"
"ALLOW","[CATEGORY_FINANCE] | com.dreamplug.androidapp | Reminder: Your IndusInd credit card bill of ₹67,114 is due tomorrow. Pay now to avoid fees."
"BLOCK","[CATEGORY_UNKNOWN] | com.google.android.apps.messaging | You have 1 new voicemail. Please call 08719181513."
"ALLOW","[CATEGORY_UNKNOWN] | com.google.android.apps.messaging | Will do. Was exhausted on train this morning. Too much wine and pie. You sleep well too"
"ALLOW","[CATEGORY_SOCIAL] | com.whatsapp | Group 'Family': I have sent the document."
"BLOCK","[CATEGORY_TRANSPORT] | com.olacabs.customer | Missed us? Here's 20% off your next 3 rides. Use code FREEDEL."
"ALLOW","[CATEGORY_SOCIAL] | com.microsoft.teams | Amit sent a message: 'The production server is experiencing high latency.'"
"BLOCK","[CATEGORY_UNKNOWN] | com.google.android.apps.messaging | You are being ripped off! Get your mobile content from www.clubmoby.com call 08717509990 poly/true/Pix/Ringtones/Games six downloads for only 3"
"BLOCK","[CATEGORY_UNKNOWN] | com.google.android.apps.messaging | Mila, age23, blonde, new in UK. I look sex with UK guys. if u like fun with me. Text MTALK to 69866.18 . 30pp/txt 1st 5free. å£1.50 increments. Help08718728876"
"BLOCK","[CATEGORY_UNKNOWN] | com.google.android.apps.messaging | Congrats 2 mobile 3G Videophones R yours. call 09063458130 now! videochat wid ur mates, play java games, Dload polypH music, noline rentl. bx420. ip4. 5we. 150p"
"BLOCK","[CATEGORY_UNKNOWN] | com.google.android.apps.messaging | Do you want a New Nokia 3510i colour phone DeliveredTomorrow? With 300 free minutes to any mobile + 100 free texts + Free Camcorder reply or call 08000930705."
"ALLOW","[CATEGORY_TRANSPORT] | in.rapido.passenger | Captain Rahul is on the way. Arriving in 11 mins."
"ALLOW","[CATEGORY_FINANCE] | com.google.android.apps.messaging | Transaction of AED 23.00 debited from your a/c ****0535 at TEA BREAK CAFE - BRANC ABU DHABI AE. Avl Bal is AED 8708.61"
"BLOCK","[CATEGORY_UNKNOWN] | com.unknown.dating | ❤️ 23 girls are online near you. Tap to start video call."
"ALLOW","[CATEGORY_FOOD] | in.swiggy.android | Delivery partner assigned! Siddharth is picking up your order."
"ALLOW","[CATEGORY_UNKNOWN] | com.google.android.apps.messaging | No problem baby. Is this is a good time to talk? I called and left a message."
"BLOCK","[CATEGORY_SHOPPING] | com.flipkart.android | BIG BILLION DAYS! 🔥 Get Perfume at just ₹120. Sale ends tonight!"
"ALLOW","[CATEGORY_FINANCE] | com.google.android.apps.messaging | Dear Customer, AED 25.00 was debited from your account *535. Your available account balance is AED 55.02"
"BLOCK","[CATEGORY_TRANSPORT] | com.olacabs.customer | Missed us? Here's 20% off your next 3 rides. Use code BINGE."
"BLOCK","[CATEGORY_UNKNOWN] | com.google.android.apps.messaging | our mobile number has won å£5000, to claim calls us back or ring the claims hot line on 09050005321."
"BLOCK","[CATEGORY_TRANSPORT] | com.ubercab | Plan your weekend getaway with Uber Rentals. Get 80% off on 12-hour packages."
"BLOCK","[CATEGORY_UNKNOWN] | com.google.android.apps.messaging | URGENT! Your Mobile number has been awarded with a å£2000 Bonus Caller Prize. Call 09058095201 from land line. Valid 12hrs only"
"ALLOW","[CATEGORY_FINANCE] | net.one97.paytm | Bank transfer of ₹30,545 to Swati successful."
"ALLOW","[CATEGORY_SOCIAL] | com.whatsapp | Group 'Weekend Trip': I have sent the document."
"BLOCK","[CATEGORY_SHOPPING] | com.flipkart.android | BIG BILLION DAYS! 🔥 Get Laptop at just ₹120. Sale ends tonight!"
"ALLOW","[CATEGORY_FINANCE] | com.sbi.YONO | You have successfully added Vikram as a beneficiary. Cooling period of 4 hours active."
"BLOCK","[CATEGORY_FRAUD] | com.google.android.apps.messaging | Refund from previous refused visa is ready. Pay bank release charges to get the money credited."
"BLOCK","[CATEGORY_UNKNOWN] | com.google.android.apps.messaging | YOUR CHANCE TO BE ON A REALITY FANTASY SHOW call now = 08707509020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870 is a national = rate call"
"ALLOW","[CATEGORY_TRANSPORT] | com.olacabs.customer | Your ride is here! OTP to start is 7643."
"ALLOW","[CATEGORY_FINANCE] | com.hdfcbank.payzapp | Cashback of ₹38,293 added to your PayZapp wallet!"
"ALLOW","[CATEGORY_TRANSPORT] | com.ubercab | Your driver, Rahul, is arriving in 3 mins in a white Swift Dzire (KA01AB4391)."
"BLOCK","[CATEGORY_SHOPPING] | com.flipkart.android | BIG BILLION DAYS! 🔥 Get Samsung S23 at just ₹499. Sale ends tonight!"
"ALLOW","[CATEGORY_FINANCE] | com.google.android.apps.messaging | Transaction of AED 1000.00 debited from your a/c ****0535 at HEALTH LINE MEDICAL ABU DHABI AE. Avl Bal is AED 314.12"
"BLOCK","[CATEGORY_UNKNOWN] | com.google.android.apps.messaging | Call 09095350301 and send our girls into erotic ecstacy. Just 60p/min. To stop texts call 08712460324 (nat rate)"
"BLOCK","[CATEGORY_UNKNOWN] | com.google.android.apps.messaging | IMPORTANT INFORMATION 4 ORANGE USER 0796XXXXXX. TODAY IS UR LUCKY DAY!2 FIND OUT WHY LOG ONTO http://www.urawinner.com THERE'S A FANTASTIC PRIZEAWAITING YOU!"
"BLOCK","[CATEGORY_FOOD] | in.swiggy.android | Hungry? Ramen is calling! Order now for 30% off up to Rs.1499."
"ALLOW","[CATEGORY_UNKNOWN] | com.google.android.apps.messaging | Then why you not responding"
"BLOCK","[CATEGORY_FOOD] | in.swiggy.android | Match time madness! 🏏 Free delivery on orders above ₹499."
"ALLOW","[CATEGORY_FINANCE] | com.phonepe.app | Autopay for OLA of ₹78,528 was successful."
"ALLOW","[CATEGORY_UNKNOWN] | com.google.android.apps.messaging | I'm really not up to it still tonight babe"
"ALLOW","[CATEGORY_UNKNOWN] | com.google.android.apps.messaging | Does uncle timi help in clearing cars"
"ALLOW","[CATEGORY_UNKNOWN] | com.google.android.apps.messaging | HELLO PEACH! MY CAKE TASTS LUSH!"
"BLOCK","[CATEGORY_UNKNOWN] | com.google.android.apps.messaging | Todays Voda numbers ending 1225 are selected to receive a å£50award. If you have a match please call 08712300220 quoting claim code 3100 standard rates app"
"ALLOW","[CATEGORY_FINANCE] | com.hdfcbank.payzapp | Cashback of ₹55,292 added to your PayZapp wallet!"
"BLOCK","[CATEGORY_UNKNOWN] | com.google.android.apps.messaging | Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send CASH to 86688 only 150p/msg. CC: 08708800282 HG/Suite342/2Lands Row/W1J6HL"
"BLOCK","[CATEGORY_UNKNOWN] | com.unknown.spam | 🚨 VIRUS DETECTED! Install Antivirus immediately to protect your device."
"ALLOW","[CATEGORY_UNKNOWN] | com.google.android.apps.messaging | Embassy ਦਾ ਫੈਸਲਾ private service charge ਦੇ ਕੇ ਨਹੀਂ ਬਦਲਿਆ ਜਾਂਦਾ।"
"ALLOW","[CATEGORY_FOOD] | com.application.zomato | Your Butter Chicken is out for delivery. Track it live on the map."
"BLOCK","[CATEGORY_FOOD] | in.swiggy.android | Match time madness! 🏏 Free delivery on orders above ₹120."
"ALLOW","[CATEGORY_FINANCE] | net.one97.paytm | ₹65,391 paid successfully to ZOMATO. Ref No: 2953660479."
"BLOCK","[CATEGORY_FOOD] | com.blinkit.app | Restock your fridge! 🥦 Fresh veggies delivered in 10 mins. Use code WELCOME."
"BLOCK","[CATEGORY_UNKNOWN] | com.google.android.apps.messaging | Congrats! Nokia 3650 video camera phone is your Call 09066382422 Calls cost 150ppm Ave call 3mins vary from mobiles 16+ Close 300603 post BCM4284 Ldn WC1N3XX"
"ALLOW","[CATEGORY_SOCIAL] | com.whatsapp | Siddharth: Call me back urgently."
"BLOCK","[CATEGORY_SHOPPING] | com.myntra.android | End of Reason Sale! Flat 60% off on top brands + free delivery. 🛍️"
"ALLOW","[CATEGORY_TRANSPORT] | com.ubercab | Your driver, Ramesh, is arriving in 14 mins in a white WagonR (KA01AB6313)."
"BLOCK","[CATEGORY_FOOD] | in.swiggy.android | Hungry? Rolls is calling! Order now for 80% off up to Rs.299."
"ALLOW","[CATEGORY_TRANSPORT] | in.rapido.passenger | Captain Neha is on the way. Arriving in 13 mins."
"BLOCK","[CATEGORY_FOOD] | in.swiggy.android | Hungry? Ramen is calling! Order now for 70% off up to Rs.49999."
"ALLOW","[CATEGORY_SOCIAL] | com.instagram.android | Rohit replied to your story: Wow!"
"BLOCK","[CATEGORY_UNKNOWN] | com.google.android.apps.messaging | You've won tkts to the EURO2004 CUP FINAL or å£800 CASH, to collect CALL 09058099801 b4190604, POBOX 7876150ppm"
"ALLOW","[CATEGORY_UNKNOWN] | com.google.android.apps.messaging | Yes there were many sweets"
"ALLOW","[CATEGORY_FINANCE] | com.google.android.apps.messaging | Transaction of AED 114.19 debited from your a/c ****0535 at ART HOUSE CAFE ABU DHABI AE. Avl Bal is AED 1446.89"
"BLOCK","[CATEGORY_UNKNOWN] | com.google.android.apps.messaging | Can U get 2 phone NOW? I wanna chat 2 set up meet Call me NOW on 09096102316 U can cum here 2moro Luv JANE xx Callså£1/minmoremobsEMSPOBox45PO139WA"
"BLOCK","[CATEGORY_UNKNOWN] | com.rummycircle | Aapki 2 Lakh ki winning waiting hai! 🤑 Play rummy now and withdraw instantly."
"ALLOW","[CATEGORY_FINANCE] | com.phonepe.app | Received ₹41,678 from Rahul. Tap to check your updated wallet balance."
"ALLOW","[CATEGORY_UNKNOWN] | com.google.android.apps.messaging | Then u go back urself lor..."
"ALLOW","[CATEGORY_UNKNOWN] | com.google.android.apps.messaging | I'm in office now da:)where are you?"
"ALLOW","[CATEGORY_FINANCE] | com.google.android.apps.messaging | Dear Customer, AED 3.78 was debited from your account *535. Your available account balance is AED 445.02"
"BLOCK","[CATEGORY_UNKNOWN] | com.google.android.apps.messaging | URGENT!: Your Mobile No. was awarded a å£2,000 Bonus Caller Prize on 02/09/03! This is our 2nd attempt to contact YOU! Call 0871-872-9755 BOX95QU"
"ALLOW","[CATEGORY_FINANCE] | com.phonepe.app | Payment failed! ₹22,883 to AIRTEL could not be processed due to bank server issue."
"ALLOW","[CATEGORY_SOCIAL] | com.whatsapp | Group 'Dev Team': Are we still on for tonight?"
"ALLOW","[CATEGORY_FINANCE] | com.csam.icici.bank.imobile | Your Salary of INR 1,331.00 has been credited to ICICI Bank Acct XX5379."
"BLOCK","[CATEGORY_FOOD] | in.swiggy.android | Match time madness! 🏏 Free delivery on orders above ₹999."
"BLOCK","[CATEGORY_FRAUD] | com.google.android.apps.messaging | To continue, send your passport copy and a small processing amount today."
"ALLOW","[CATEGORY_FINANCE] | com.phonepe.app | Autopay for AIRTEL of ₹35,529 was successful."
"ALLOW","[CATEGORY_UNKNOWN] | com.google.android.apps.messaging | \Petey boy whereare you me and all your friendsare in theKingshead come down if you canlove Nic\''"
"BLOCK","[CATEGORY_FOOD] | com.application.zomato | Midnight cravings? We are delivering! Flat 40% off on night orders. 🌙"
"ALLOW","[CATEGORY_FINANCE] | com.hdfcbank.payzapp | Cashback of ₹38,404 added to your PayZapp wallet!"
"BLOCK","[CATEGORY_UNKNOWN] | com.google.android.apps.messaging | More people are dogging in your area now. Call 09090204448 and join like minded guys. Why not arrange 1 yourself. There's 1 this evening. Aå£1.50 minAPN LS278BB"
"BLOCK","[CATEGORY_SHOPPING] | com.nykaa.android | Lipstick day! 💄 Free mini on orders above ₹1499."
"BLOCK","[CATEGORY_SHOPPING] | com.flipkart.android | BIG BILLION DAYS! 🔥 Get Backpack at just ₹499. Sale ends tonight!"
"BLOCK","[CATEGORY_UNKNOWN] | com.google.android.apps.messaging | Valentines Day Special! Win over å£1000 in our quiz and take your partner on the trip of a lifetime! Send GO to 83600 now. 150p/msg rcvd. CustCare:08718720201."
"ALLOW","[CATEGORY_SOCIAL] | com.whatsapp | Priya: Call me back urgently."
"BLOCK","[CATEGORY_UNKNOWN] | com.google.android.apps.messaging | You have WON a guaranteed å£1000 cash or a å£2000 prize. To claim yr prize call our customer service representative on 08714712394 between 10am-7pm"
"ALLOW","[CATEGORY_FINANCE] | com.dreamplug.androidapp | Reminder: Your Yes Bank credit card bill of ₹26,645 is due tomorrow. Pay now to avoid fees."
"ALLOW","[CATEGORY_FINANCE] | com.dreamplug.androidapp | Reminder: Your Kotak credit card bill of ₹72,302 is due tomorrow. Pay now to avoid fees."
"BLOCK","[CATEGORY_UNKNOWN] | com.cleaner.boost | ⚠️ Warning: Your phone is running slow! Tap to clean cache and boost speed."
"ALLOW","[CATEGORY_FINANCE] | com.sbi.YONO | You have successfully added Priya as a beneficiary. Cooling period of 4 hours active."
"ALLOW","[CATEGORY_SOCIAL] | org.telegram.messenger | Priya joined Telegram!"
"BLOCK","[CATEGORY_UNKNOWN] | com.google.android.apps.messaging | dating:i have had two of these. Only started after i sent a text to talk sport radio last week. Any connection do you think or coincidence?"
"ALLOW","[CATEGORY_UNKNOWN] | com.google.android.apps.messaging | Now thats going to ruin your thesis!"
"BLOCK","[CATEGORY_UNKNOWN] | com.google.android.apps.messaging | Please CALL 08712402578 immediately as there is an urgent message waiting for you"
"ALLOW","[CATEGORY_UNKNOWN] | com.google.android.apps.messaging | Mm i had my food da from out"
"ALLOW","[CATEGORY_FINANCE] | com.phonepe.app | Received ₹48,028 from Rohit. Tap to check your updated wallet balance."
"ALLOW","[CATEGORY_FINANCE] | com.csam.icici.bank.imobile | Your Salary of INR 72,245.00 has been credited to ICICI Bank Acct XX0090."
"ALLOW","[CATEGORY_FINANCE] | net.one97.paytm | ₹25,285 paid successfully to UBER. Ref No: 7381436899."
"ALLOW","[CATEGORY_FINANCE] | com.sbi.YONO | You have successfully added Aisha as a beneficiary. Cooling period of 4 hours active."
"BLOCK","[CATEGORY_UNKNOWN] | com.cleaner.boost | Storage 90% full! Clear junk files to free up space."
"BLOCK","[CATEGORY_SHOPPING] | com.ril.ajio | Flash Sale: Trendy Headphones under ₹999. Grab yours before sizes run out!"
"BLOCK","[CATEGORY_UNKNOWN] | com.rummyculture | Rummy khelo aur jeeto ₹1 rozana. 100% legal and safe."
"ALLOW","[CATEGORY_UNKNOWN] | com.google.android.apps.messaging | hope things went well at 'doctors' ;) reminds me i still need 2go.did u c d little thing i left in the lounge?"
"BLOCK","[CATEGORY_FOOD] | in.swiggy.android | Hungry? Pizza is calling! Order now for 70% off up to Rs.1499."
"BLOCK","[CATEGORY_UNKNOWN] | com.google.android.apps.messaging | Reply with your name and address and YOU WILL RECEIVE BY POST a weeks completely free accommodation at various global locations www.phb1.com ph:08700435505150p"
"ALLOW","[CATEGORY_FINANCE] | com.dreamplug.androidapp | Reminder: Your HDFC credit card bill of ₹33,590 is due tomorrow. Pay now to avoid fees."
"BLOCK","[CATEGORY_TRANSPORT] | com.olacabs.customer | Missed us? Here's 20% off your next 3 rides. Use code CRAVINGS."
"ALLOW","[CATEGORY_FINANCE] | com.phonepe.app | Payment failed! ₹69,999 to UBER could not be processed due to bank server issue."
"BLOCK","[CATEGORY_UNKNOWN] | com.cleaner.boost | Storage 14% full! Clear junk files to free up space."
"ALLOW","[CATEGORY_FINANCE] | net.one97.paytm | ₹7,153 paid successfully to AIRTEL. Ref No: 9864759734."
"ALLOW","[CATEGORY_FINANCE] | com.dreamplug.androidapp | Reminder: Your Yes Bank credit card bill of ₹5,415 is due tomorrow. Pay now to avoid fees."
"ALLOW","[CATEGORY_FINANCE] | com.hdfcbank.payzapp | Cashback of ₹46,454 added to your PayZapp wallet!"
"BLOCK","[CATEGORY_UNKNOWN] | com.unknown.dating | ❤️ 58 girls are online near you. Tap to start video call."
"ALLOW","[CATEGORY_FOOD] | in.swiggy.android | Delivery partner assigned! Vikram is picking up your order."
"ALLOW","[CATEGORY_FINANCE] | com.sbi.YONO | Dear Customer, your OTP for internet banking login is 004873. Valid for 5 mins."
"ALLOW","[CATEGORY_FINANCE] | com.sbi.YONO | Dear Customer, your OTP for internet banking login is 245421. Valid for 5 mins."
"ALLOW","[CATEGORY_UNKNOWN] | com.google.android.apps.messaging | Me too! Have a lovely night xxx"
"ALLOW","[CATEGORY_FOOD] | com.blinkit.app | Your groceries are at the door! Please collect them."
"ALLOW","[CATEGORY_TRANSPORT] | in.rapido.passenger | Captain Arjun is on the way. Arriving in 13 mins."
"ALLOW","[CATEGORY_FINANCE] | net.one97.paytm | Bank transfer of ₹93,652 to Siddharth successful."
"ALLOW","[CATEGORY_FINANCE] | com.phonepe.app | Payment failed! ₹15,268 to SWIGGY could not be processed due to bank server issue."
"ALLOW","[CATEGORY_SOCIAL] | org.telegram.messenger | Aisha joined Telegram!"
"BLOCK","[CATEGORY_UNKNOWN] | com.google.android.apps.messaging | Please call our customer service representative on FREEPHONE 0808 145 4742 between 9am-11pm as you have WON a guaranteed å£1000 cash or å£5000 prize!"
